(-0.48125,-0.48125,-0.48125)
(-0.48125,-0.48125,-0.34375)
(-0.48125,-0.48125,-0.20625)
(-0.48125,-0.48125,-0.06875)
(-0.48125,-0.48125,0.06875)
(-0.48125,-0.48125,0.20625)
(-0.48125,-0.48125,0.34375)
(-0.48125,-0.48125,0.48125)
(-0.48125,-0.34375,-0.48125)
(-0.48125,-0.34375,-0.34375)
(-0.48125,-0.34375,-0.20625)
(-0.48125,-0.34375,-0.06875)
(-0.48125,-0.34375,0.06875)
(-0.48125,-0.34375,0.20625)
(-0.48125,-0.34375,0.34375)
(-0.48125,-0.34375,0.48125)
(-0.48125,-0.20625,-0.48125)
(-0.48125,-0.20625,-0.34375)
(-0.48125,-0.20625,-0.20625)
(-0.48125,-0.20625,-0.06875)
(-0.48125,-0.20625,0.06875)
(-0.48125,-0.20625,0.20625)
(-0.48125,-0.20625,0.34375)
(-0.48125,-0.20625,0.48125)
(-0.48125,-0.06875,-0.48125)
(-0.48125,-0.06875,-0.34375)
(-0.48125,-0.06875,-0.20625)
(-0.48125,-0.06875,-0.06875)
(-0.48125,-0.06875,0.06875)
(-0.48125,-0.06875,0.20625)
(-0.48125,-0.06875,0.34375)
(-0.48125,-0.06875,0.48125)
(-0.48125,0.06875,-0.48125)
(-0.48125,0.06875,-0.34375)
(-0.48125,0.06875,-0.20625)
(-0.48125,0.06875,-0.06875)
(-0.48125,0.06875,0.06875)
(-0.48125,0.06875,0.20625)
(-0.48125,0.06875,0.34375)
(-0.48125,0.06875,0.48125)
(-0.48125,0.20625,-0.48125)
(-0.48125,0.20625,-0.34375)
(-0.48125,0.20625,-0.20625)
(-0.48125,0.20625,-0.06875)
(-0.48125,0.20625,0.06875)
(-0.48125,0.20625,0.20625)
(-0.48125,0.20625,0.34375)
(-0.48125,0.20625,0.48125)
(-0.48125,0.34375,-0.48125)
(-0.48125,0.34375,-0.34375)
(-0.48125,0.34375,-0.20625)
(-0.48125,0.34375,-0.06875)
(-0.48125,0.34375,0.06875)
(-0.48125,0.34375,0.20625)
(-0.48125,0.34375,0.34375)
(-0.48125,0.34375,0.48125)
(-0.48125,0.48125,-0.48125)
(-0.48125,0.48125,-0.34375)
(-0.48125,0.48125,-0.20625)
(-0.48125,0.48125,-0.06875)
(-0.48125,0.48125,0.06875)
(-0.48125,0.48125,0.20625)
(-0.48125,0.48125,0.34375)
(-0.48125,0.48125,0.48125)
(-0.34375,-0.48125,-0.48125)
(-0.34375,-0.48125,-0.34375)
(-0.34375,-0.48125,-0.20625)
(-0.34375,-0.48125,-0.06875)
(-0.34375,-0.48125,0.06875)
(-0.34375,-0.48125,0.20625)
(-0.34375,-0.48125,0.34375)
(-0.34375,-0.48125,0.48125)
(-0.34375,-0.34375,-0.48125)
(-0.34375,-0.34375,-0.34375)
(-0.34375,-0.34375,-0.20625)
(-0.34375,-0.34375,-0.06875)
(-0.34375,-0.34375,0.06875)
(-0.34375,-0.34375,0.20625)
(-0.34375,-0.34375,0.34375)
(-0.34375,-0.34375,0.48125)
(-0.34375,-0.20625,-0.48125)
(-0.34375,-0.20625,-0.34375)
(-0.34375,-0.20625,-0.20625)
(-0.34375,-0.20625,-0.06875)
(-0.34375,-0.20625,0.06875)
(-0.34375,-0.20625,0.20625)
(-0.34375,-0.20625,0.34375)
(-0.34375,-0.20625,0.48125)
